,attitude.roll,attitude.pitch,attitude.yaw,gravity.x,gravity.y,gravity.z,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z
0,134927,-42927,693436,35741,68337,97838,570425,1102615,720966,113816,-591585,458060
1,134787,-26018,674826,46945,55685,97255,1095719,748881,281777,38327,-371247,195384
2,134560,-16029,668015,53456,48124,96803,115544,283694,-18234,-170364,-272391,-87289
3,123563,-13709,672799,54555,46357,88371,228682,-724282,-325937,-189467,-270304,175476
4,100736,-12949,670058,53908,45779,70980,367940,-588455,-314456,18363,-53096,36219
5,83097,-9838,666507,54758,43404,57394,441429,-439221,-135740,-12837,-261186,92972
6,61948,-3439,659657,57146,38499,40844,596783,-479385,-83329,-101696,-433436,-115072
7,48497,259,653523,58226,35653,30281,429889,151679,-305382,-111718,-334415,-22402
8,50235,-936,648260,57642,36574,31707,528473,771020,-494563,-108189,-327171,5195
9,49866,-2070,635261,56888,37447,31517,887359,640807,-476933,-82731,-424113,-116791
10,40981,-2558,614002,55678,37822,24784,1119398,503709,-492228,-198678,-526371,-73713
11,19334,-961,589304,54240,36592,8157,1264478,-337750,-379042,-271840,-512081,-115650
12,-26773,4134,559870,51011,32662,-27417,1487053,-1509687,-272368,-203334,-497820,11784
13,-94966,14266,530739,44708,24795,-80366,1436909,-2465992,-40757,-186166,-505074,206027
14,-170443,30690,510034,36314,11906,-139858,1398901,-3110137,174527,-122124,-448087,246049
15,-255338,51297,487291,22119,-4499,-207076,1505338,-3319634,258861,-98026,-292797,203603
16,-333609,67255,473462,1789,-17376,-267600,854334,-3124658,17984,-202391,-162366,450773
17,-390372,66810,475095,-22099,-17016,-306984,221983,-2456259,-344091,-450232,-248465,530578
18,-437667,62285,477089,-45666,-13350,-337306,-32501,-1879129,-593366,-618345,-355143,333329
19,-469361,50284,481461,-66469,-3686,-353712,-378773,-1031264,-801970,-565010,-441192,380101
20,-476772,35327,488936,-77232,8237,-352944,-434470,173490,-735537,-457949,-417135,448653
21,-456820,19319,501427,-75674,20848,-334456,-827065,1396603,-705664,-388095,-372541,223500
22,-409754,-5320,526954,-67503,39944,-295652,-1507356,2036643,-867195,-429135,-478856,142994
23,-346415,-34294,563012,-58239,61900,-244916,-1688566,2569823,-845644,-433822,-516972,128803
